frase,polaridad
"gustaria este reclamos, es estupendo",1
"gustaria este preguntas, es asombroso",1
"terrible este quejas, es ignorado",0
"odio este reclamos, es ineficiente",0
" sirve este peticiones, es maravilla",1
"desastroso este peticiones, es poco",0
"terrible este reclamos, es grosero",0
" encanta este preguntas, es gracias",1
" cautiva este reclamos, es excelente",1
"indigna este peticiones, es poco",0
"horrible este reclamos, es desagrada",0
"disgusta este reclamos, es terrible",0
"horrible este preguntas, es problemas",0
"indigna este quejas, es dificultades",0
"horrible este quejas, es dificultades",0
"gustaria este peticiones, es bueno",1
" complace este reclamos, es rapido",1
"fascinaria este preguntas, es increible",1
"desastroso este peticiones, es descontento",0
" satisface este peticiones, es estupendo",1
"malo este reclamos, es descontento",0
"agrada este quejas, es agradable",1
"indigna este reclamos, es horrible",0
" sirve este reclamos, es rapido",1
"odio este peticiones, es desagrada",0
"disgustaria este peticiones, es ignorado",0
"disgustaria este preguntas, es horrible",0
" cautiva este preguntas, es estupendo",1
"odio este preguntas, es problemas",0
" fascina este reclamos, es genial",1
"fascinaria este peticiones, es estupendo",1
" satisface este quejas, es agradable",1
"encantaria este peticiones, es fantastico",1
"malo este reclamos, es poco",0
" cautiva este quejas, es bueno",1
"disgustaria este preguntas, es incompleto",0
"odio este peticiones, es ineficiente",0
"indigna este quejas, es terrible",0
"terrible este quejas, es descontento",0
"agrada este peticiones, es maravilloso",1
"horrible este quejas, es descontento",0
"desastroso este preguntas, es lamentable",0
"desastroso este peticiones, es poco",0
"molesto este peticiones, es frustante",0
"molesto este peticiones, es malo",0
" cautiva este reclamos, es favor",1
"molesto este peticiones, es grosero",0
" encanta este peticiones, es eficiente",1
" encanta este peticiones, es agradable",1
"horrible este reclamos, es horrible",0
"malo este reclamos, es ineficiente",0
" cautiva este reclamos, es eficiente",1
"malo este reclamos, es terrible",0
"agradaria este reclamos, es genial",1
" sirve este reclamos, es bueno",1
" cautiva este quejas, es eficiente",1
" complace este peticiones, es satisfecho",1
"desastroso este peticiones, es poco",0
"odio este peticiones, es ignorado",0
" satisface este peticiones, es gracias",1
"disgustaria este quejas, es lamentable",0
" encanta este preguntas, es fantastico",1
"encantaria este reclamos, es gracias",1
"gustaria este preguntas, es contento",1
"odio este preguntas, es incompleto",0
"horroroso este preguntas, es malo",0
"molesto este preguntas, es incompleto",0
"horroroso este preguntas, es incompleto",0
"disgusta este reclamos, es grosero",0
" fascina este reclamos, es eficiente",1
"gustaria este quejas, es asombroso",1
" fascina este peticiones, es rapido",1
"agrada este peticiones, es rapido",1
"agradaria este quejas, es fantastico",1
" encanta este quejas, es fantastico",1
"malo este peticiones, es dificultades",0
"terrible este peticiones, es ineficiente",0
" cautiva este preguntas, es agradable",1
" cautiva este peticiones, es favor",1
"gusta este peticiones, es estupendo",1
" sirve este preguntas, es contento",1
"terrible este reclamos, es desagrada",0
" cautiva este preguntas, es rapido",1
"disgustaria este peticiones, es terrible",0
"gusta este peticiones, es bueno",1
"malo este quejas, es fallos",0
"odio este preguntas, es frustante",0
"disgustaria este reclamos, es descontento",0
"horrible este peticiones, es malo",0
"terrible este quejas, es decepcion",0
"gustaria este preguntas, es favor",1
"agradaria este peticiones, es satisfecho",1
"agradaria este preguntas, es maravilla",1
" cautiva este peticiones, es favor",1
"agrada este reclamos, es increible",1
"agradaria este reclamos, es excelente",1
"disgusta este peticiones, es decepcion",0
"horroroso este peticiones, es terrible",0
"malo este reclamos, es problemas",0
" satisface este peticiones, es favor",1
"desastroso este peticiones, es frustante",0
" sirve este peticiones, es genial",1
"disgustaria este preguntas, es ineficiente",0
" fascina este quejas, es rapido",1
"encantaria este reclamos, es satisfecho",1
" encanta este quejas, es genial",1
" satisface este preguntas, es agradable",1
"desastroso este quejas, es lamentable",0
"malo este reclamos, es frustante",0
"gusta este quejas, es genial",1
" complace este reclamos, es estupendo",1
"horroroso este quejas, es problemas",0
" cautiva este peticiones, es increible",1
" complace este reclamos, es contento",1
"odio este preguntas, es frustante",0
"terrible este quejas, es fallos",0
"horroroso este peticiones, es desagrada",0
" fascina este reclamos, es maravilla",1
"disgusta este quejas, es ineficiente",0
"agrada este preguntas, es increible",1
"gusta este quejas, es genial",1
"odio este peticiones, es malo",0
" sirve este reclamos, es increible",1
"agradaria este reclamos, es increible",1
"molesto este preguntas, es grosero",0
"disgustaria este quejas, es fallos",0
"agrada este peticiones, es agradable",1
"encantaria este peticiones, es satisfecho",1
" sirve este reclamos, es favor",1
"gustaria este peticiones, es bueno",1
"indigna este peticiones, es incompleto",0
"odio este quejas, es problemas",0
" sirve este peticiones, es contento",1
"fascinaria este reclamos, es eficiente",1
"molesto este preguntas, es desagrada",0
"agrada este peticiones, es contento",1
"molesto este reclamos, es lamentable",0
" encanta este reclamos, es satisfecho",1
" fascina este quejas, es gracias",1
"gustaria este peticiones, es estupendo",1
"odio este preguntas, es descontento",0
"horrible este preguntas, es terrible",0
" sirve este reclamos, es maravilloso",1
"disgustaria este reclamos, es incompleto",0
"fascinaria este peticiones, es rapido",1
" fascina este peticiones, es eficiente",1
"molesto este reclamos, es insatisfecho",0
"disgusta este peticiones, es dificultades",0
"agradaria este preguntas, es contento",1
"disgusta este reclamos, es lamentable",0
"gusta este peticiones, es maravilla",1
" complace este quejas, es fantastico",1
"terrible este peticiones, es grosero",0
"disgustaria este reclamos, es dificultades",0
"terrible este reclamos, es malo",0
"encantaria este reclamos, es rapido",1
" satisface este quejas, es satisfecho",1
"fascinaria este quejas, es rapido",1
"gustaria este peticiones, es maravilloso",1
"horrible este peticiones, es ignorado",0
"molesto este quejas, es horrible",0
"horrible este reclamos, es despreciable",0
"indigna este reclamos, es descontento",0
"fascinaria este reclamos, es asombroso",1
" encanta este preguntas, es bueno",1
"disgusta este preguntas, es ignorado",0
" cautiva este preguntas, es contento",1
" fascina este reclamos, es fantastico",1
"indigna este preguntas, es despreciable",0
"gusta este peticiones, es fantastico",1
"odio este peticiones, es poco",0
"encantaria este peticiones, es eficiente",1
"gusta este peticiones, es maravilloso",1
"malo este preguntas, es horrible",0
"disgusta este preguntas, es incompleto",0
" encanta este peticiones, es eficiente",1
"terrible este preguntas, es ineficiente",0
"odio este peticiones, es desagrada",0
"molesto este quejas, es insatisfecho",0
"molesto este quejas, es despreciable",0
"fascinaria este peticiones, es maravilloso",1
"fascinaria este quejas, es rapido",1
"disgusta este quejas, es fallos",0
"fascinaria este quejas, es maravilloso",1
" satisface este reclamos, es estupendo",1
"agradaria este peticiones, es rapido",1
"odio este peticiones, es grosero",0
"gusta este preguntas, es increible",1
"fascinaria este preguntas, es eficiente",1
" encanta este quejas, es excelente",1
"horroroso este quejas, es problemas",0
"horrible este quejas, es insatisfecho",0
" fascina este peticiones, es estupendo",1
"fascinaria este peticiones, es maravilla",1
"disgustaria este preguntas, es fallos",0
"disgusta este reclamos, es ignorado",0
"gusta este quejas, es maravilla",1
"fascinaria este preguntas, es excelente",1
"indigna este reclamos, es despreciable",0
"molesto este preguntas, es ignorado",0
" fascina este peticiones, es estupendo",1
"molesto este reclamos, es frustante",0
"horroroso este reclamos, es dificultades",0
"malo este reclamos, es lamentable",0
"agradaria este quejas, es gracias",1
"desastroso este peticiones, es fallos",0
" satisface este quejas, es maravilla",1
"agrada este reclamos, es gracias",1
"malo este quejas, es horrible",0
"indigna este preguntas, es ignorado",0
"desastroso este quejas, es decepcion",0
"disgustaria este reclamos, es despreciable",0
"horrible este quejas, es horrible",0
"odio este peticiones, es frustante",0
"encantaria este peticiones, es favor",1
"malo este quejas, es malo",0
" complace este preguntas, es increible",1
"fascinaria este reclamos, es fantastico",1
"agrada este reclamos, es bueno",1
"gustaria este peticiones, es contento",1
"odio este preguntas, es grosero",0
"odio este quejas, es lamentable",0
" satisface este peticiones, es increible",1
"horroroso este preguntas, es ignorado",0
"odio este reclamos, es despreciable",0
" cautiva este preguntas, es agradable",1
" sirve este peticiones, es rapido",1
"molesto este preguntas, es poco",0
"encantaria este preguntas, es gracias",1
"indigna este quejas, es malo",0
" satisface este reclamos, es gracias",1
"horrible este quejas, es descontento",0
"horrible este preguntas, es descontento",0
"disgusta este peticiones, es malo",0
"agrada este preguntas, es genial",1
"molesto este peticiones, es poco",0
"gustaria este preguntas, es maravilla",1
" encanta este peticiones, es genial",1
"gusta este preguntas, es genial",1
" encanta este preguntas, es maravilloso",1
"fascinaria este peticiones, es excelente",1
"desastroso este reclamos, es despreciable",0
"agrada este quejas, es rapido",1
"molesto este reclamos, es descontento",0
"agrada este peticiones, es increible",1
" fascina este quejas, es agradable",1
"agrada este preguntas, es maravilla",1
"disgustaria este preguntas, es ineficiente",0
"gustaria este quejas, es favor",1
" sirve este preguntas, es excelente",1
"disgustaria este reclamos, es ignorado",0
"agradaria este reclamos, es genial",1
"agrada este quejas, es rapido",1
" satisface este preguntas, es increible",1
"malo este peticiones, es grosero",0
"terrible este quejas, es decepcion",0
"molesto este peticiones, es dificultades",0
" encanta este preguntas, es agradable",1
" sirve este reclamos, es fantastico",1
"indigna este quejas, es problemas",0
"desastroso este reclamos, es despreciable",0
"gustaria este quejas, es genial",1
"malo este reclamos, es decepcion",0
"indigna este quejas, es ineficiente",0
"malo este peticiones, es lamentable",0
"indigna este preguntas, es grosero",0
"indigna este quejas, es incompleto",0
" cautiva este preguntas, es excelente",1
"disgusta este preguntas, es desagrada",0
" cautiva este preguntas, es maravilla",1
" complace este quejas, es fantastico",1
"molesto este preguntas, es decepcion",0
"agrada este peticiones, es maravilloso",1
"encantaria este quejas, es increible",1
"disgusta este quejas, es problemas",0
" sirve este reclamos, es contento",1
"disgustaria este reclamos, es lamentable",0
"gusta este quejas, es eficiente",1
" encanta este reclamos, es favor",1
"terrible este preguntas, es ineficiente",0
"molesto este preguntas, es terrible",0
"fascinaria este peticiones, es gracias",1
"malo este quejas, es terrible",0
"terrible este reclamos, es malo",0
"terrible este peticiones, es ignorado",0
"horrible este peticiones, es ignorado",0
"disgustaria este preguntas, es desagrada",0
"horroroso este preguntas, es malo",0
" complace este quejas, es satisfecho",1
"disgusta este reclamos, es grosero",0
"encantaria este peticiones, es rapido",1
"odio este reclamos, es horrible",0
"fascinaria este reclamos, es asombroso",1
" fascina este quejas, es excelente",1
"gusta este preguntas, es estupendo",1
"agrada este reclamos, es gracias",1
" satisface este reclamos, es genial",1
"horroroso este reclamos, es poco",0
"encantaria este peticiones, es agradable",1
"horrible este quejas, es malo",0
"odio este preguntas, es despreciable",0
" complace este quejas, es eficiente",1
"disgusta este preguntas, es desagrada",0
" fascina este reclamos, es bueno",1
" sirve este peticiones, es asombroso",1
"horrible este quejas, es ignorado",0
"terrible este preguntas, es ineficiente",0
"encantaria este reclamos, es maravilloso",1
" sirve este preguntas, es asombroso",1
"encantaria este quejas, es estupendo",1
"malo este preguntas, es horrible",0
"agradaria este quejas, es fantastico",1
"terrible este peticiones, es grosero",0
"molesto este reclamos, es terrible",0
"disgusta este reclamos, es grosero",0
"disgustaria este quejas, es despreciable",0
"desastroso este peticiones, es poco",0
"gustaria este quejas, es agradable",1
" sirve este reclamos, es agradable",1
"horrible este peticiones, es horrible",0
"desastroso este reclamos, es incompleto",0
" complace este reclamos, es maravilloso",1
"disgusta este quejas, es poco",0
"terrible este reclamos, es incompleto",0
"agrada este reclamos, es maravilloso",1
"gustaria este preguntas, es excelente",1
"disgustaria este reclamos, es decepcion",0
" complace este peticiones, es excelente",1
"desastroso este quejas, es malo",0
" satisface este preguntas, es rapido",1
"indigna este peticiones, es poco",0
"horrible este peticiones, es despreciable",0
"horroroso este peticiones, es decepcion",0
"odio este preguntas, es decepcion",0
"desastroso este peticiones, es poco",0
"horrible este peticiones, es horrible",0
"disgustaria este peticiones, es incompleto",0
"desastroso este reclamos, es poco",0
"gusta este peticiones, es agradable",1
"malo este reclamos, es malo",0
"disgusta este peticiones, es ignorado",0
" satisface este quejas, es bueno",1
"encantaria este peticiones, es asombroso",1
"indigna este reclamos, es fallos",0
"odio este quejas, es lamentable",0
" cautiva este quejas, es estupendo",1
"gustaria este preguntas, es maravilla",1
" satisface este preguntas, es gracias",1
"malo este quejas, es dificultades",0
" complace este quejas, es gracias",1
"horrible este preguntas, es dificultades",0
"agradaria este peticiones, es satisfecho",1
"horroroso este quejas, es ignorado",0
" satisface este reclamos, es eficiente",1
"fascinaria este quejas, es increible",1
"terrible este peticiones, es frustante",0
"disgustaria este reclamos, es frustante",0
"horroroso este peticiones, es lamentable",0
"agrada este reclamos, es genial",1
"agrada este preguntas, es fantastico",1
"horroroso este quejas, es despreciable",0
" satisface este preguntas, es gracias",1
"disgusta este peticiones, es decepcion",0
"gusta este peticiones, es eficiente",1
"agradaria este preguntas, es gracias",1
" cautiva este preguntas, es contento",1
"disgustaria este quejas, es incompleto",0
"terrible este peticiones, es descontento",0
" fascina este reclamos, es fantastico",1
"horroroso este reclamos, es incompleto",0
"encantaria este quejas, es bueno",1
"gusta este quejas, es satisfecho",1
"indigna este peticiones, es ignorado",0
"molesto este preguntas, es decepcion",0
"malo este reclamos, es malo",0
"horrible este reclamos, es descontento",0
"disgustaria este reclamos, es ineficiente",0
"odio este preguntas, es fallos",0
"fascinaria este peticiones, es asombroso",1
"disgusta este quejas, es problemas",0
"terrible este preguntas, es ignorado",0
"odio este peticiones, es malo",0
"desastroso este peticiones, es fallos",0
"agradaria este preguntas, es eficiente",1
"terrible este quejas, es problemas",0
" satisface este quejas, es maravilla",1
" cautiva este quejas, es increible",1
" cautiva este peticiones, es satisfecho",1
"fascinaria este quejas, es maravilloso",1
"terrible este reclamos, es ignorado",0
"disgustaria este quejas, es terrible",0
"terrible este quejas, es ineficiente",0
"horrible este reclamos, es ignorado",0
" cautiva este reclamos, es fantastico",1
"gustaria este preguntas, es increible",1
"disgusta este peticiones, es desagrada",0
"gusta este reclamos, es rapido",1
"agradaria este quejas, es favor",1
" encanta este preguntas, es agradable",1
"gustaria este quejas, es eficiente",1
"odio este reclamos, es fallos",0
"agrada este peticiones, es agradable",1
"disgusta este quejas, es problemas",0
"molesto este reclamos, es lamentable",0
"malo este peticiones, es despreciable",0
"desastroso este reclamos, es terrible",0
" sirve este reclamos, es genial",1
" fascina este quejas, es maravilloso",1
"gustaria este quejas, es genial",1
"horrible este quejas, es fallos",0
"disgusta este reclamos, es despreciable",0
"agrada este quejas, es gracias",1
"agradaria este preguntas, es asombroso",1
"odio este quejas, es grosero",0
" sirve este reclamos, es favor",1
"fascinaria este preguntas, es agradable",1
"disgusta este reclamos, es malo",0
"odio este reclamos, es ignorado",0
"molesto este reclamos, es descontento",0
"gustaria este quejas, es favor",1
" fascina este reclamos, es maravilloso",1
"malo este preguntas, es horrible",0
"molesto este quejas, es malo",0
"encantaria este reclamos, es maravilla",1
"desastroso este preguntas, es fallos",0
"encantaria este quejas, es contento",1
"disgustaria este quejas, es incompleto",0
"agradaria este preguntas, es increible",1
"indigna este quejas, es descontento",0
"horroroso este quejas, es ineficiente",0
"disgusta este reclamos, es ineficiente",0
"horroroso este reclamos, es problemas",0
" sirve este reclamos, es asombroso",1
"malo este preguntas, es problemas",0
"disgustaria este peticiones, es fallos",0
"indigna este peticiones, es frustante",0
" fascina este reclamos, es favor",1
"malo este quejas, es horrible",0
"disgusta este preguntas, es lamentable",0
"disgusta este quejas, es terrible",0
"disgusta este quejas, es decepcion",0
"malo este preguntas, es despreciable",0
"agrada este quejas, es agradable",1
"malo este reclamos, es problemas",0
"disgusta este quejas, es lamentable",0
"disgusta este peticiones, es lamentable",0
"molesto este peticiones, es frustante",0
"malo este peticiones, es descontento",0
"horroroso este preguntas, es grosero",0
"indigna este preguntas, es despreciable",0
"disgusta este reclamos, es desagrada",0
" sirve este preguntas, es satisfecho",1
"molesto este peticiones, es dificultades",0
"gusta este reclamos, es gracias",1
"malo este preguntas, es lamentable",0
"terrible este peticiones, es malo",0
"indigna este preguntas, es fallos",0
"horrible este preguntas, es poco",0
"agrada este quejas, es satisfecho",1
"odio este preguntas, es descontento",0
" encanta este preguntas, es fantastico",1
"gustaria este peticiones, es favor",1
"gusta este preguntas, es estupendo",1
"malo este reclamos, es frustante",0
"molesto este preguntas, es frustante",0
"agradaria este reclamos, es estupendo",1
"fascinaria este preguntas, es contento",1
"gusta este preguntas, es fantastico",1
"disgusta este peticiones, es desagrada",0
"disgusta este preguntas, es horrible",0
"odio este quejas, es dificultades",0
"molesto este reclamos, es horrible",0
"molesto este reclamos, es horrible",0
"malo este preguntas, es ignorado",0
" encanta este preguntas, es agradable",1
"gusta este reclamos, es estupendo",1
" fascina este preguntas, es fantastico",1
"disgusta este quejas, es problemas",0
"horrible este peticiones, es poco",0
"disgustaria este reclamos, es dificultades",0
"horroroso este quejas, es descontento",0
"encantaria este reclamos, es eficiente",1
" complace este preguntas, es bueno",1
"disgusta este peticiones, es decepcion",0
"desastroso este peticiones, es ineficiente",0
"gusta este peticiones, es favor",1
"agrada este quejas, es asombroso",1
"disgustaria este preguntas, es ineficiente",0
" sirve este preguntas, es rapido",1
"molesto este quejas, es insatisfecho",0
" complace este reclamos, es fantastico",1
"gustaria este preguntas, es gracias",1
" cautiva este preguntas, es excelente",1
" encanta este peticiones, es gracias",1
"molesto este preguntas, es fallos",0
"indigna este reclamos, es horrible",0
"terrible este preguntas, es poco",0
"indigna este reclamos, es descontento",0
" cautiva este preguntas, es eficiente",1
"agrada este peticiones, es genial",1
"disgusta este peticiones, es insatisfecho",0
"desastroso este peticiones, es decepcion",0
"odio este peticiones, es dificultades",0
"gusta este quejas, es excelente",1
"odio este reclamos, es fallos",0
" fascina este preguntas, es asombroso",1
"gusta este quejas, es excelente",1
"molesto este reclamos, es despreciable",0
"indigna este reclamos, es descontento",0
"gusta este reclamos, es estupendo",1
"odio este peticiones, es decepcion",0
" fascina este quejas, es eficiente",1
"gusta este peticiones, es rapido",1
"gusta este peticiones, es contento",1
"indigna este preguntas, es desagrada",0
"indigna este reclamos, es problemas",0
"terrible este quejas, es ineficiente",0
" satisface este peticiones, es increible",1
"agradaria este peticiones, es maravilla",1
"fascinaria este preguntas, es satisfecho",1
"agrada este quejas, es contento",1
"disgusta este peticiones, es ignorado",0
" complace este peticiones, es contento",1
" fascina este reclamos, es agradable",1
"malo este preguntas, es grosero",0
"disgusta este peticiones, es horrible",0
"gustaria este peticiones, es eficiente",1
"horroroso este peticiones, es fallos",0
"agradaria este preguntas, es favor",1
" complace este reclamos, es estupendo",1
"terrible este quejas, es lamentable",0
" fascina este quejas, es estupendo",1
"desastroso este reclamos, es lamentable",0
" complace este quejas, es contento",1
"gustaria este reclamos, es rapido",1
"fascinaria este quejas, es genial",1
"agradaria este quejas, es agradable",1
" sirve este preguntas, es genial",1
" encanta este peticiones, es fantastico",1
" complace este peticiones, es excelente",1
"gustaria este peticiones, es satisfecho",1
"malo este reclamos, es lamentable",0
"indigna este quejas, es despreciable",0
"horroroso este reclamos, es problemas",0
"encantaria este reclamos, es satisfecho",1
"desastroso este peticiones, es ineficiente",0
"gusta este quejas, es maravilla",1
"horroroso este peticiones, es frustante",0
"agrada este peticiones, es estupendo",1
" complace este reclamos, es bueno",1
" fascina este quejas, es fantastico",1
"horroroso este reclamos, es ignorado",0
"malo este reclamos, es problemas",0
" encanta este quejas, es agradable",1
" sirve este reclamos, es excelente",1
"agrada este quejas, es contento",1
" satisface este preguntas, es rapido",1
"encantaria este quejas, es favor",1
" complace este reclamos, es agradable",1
"agrada este quejas, es asombroso",1
" satisface este preguntas, es increible",1
"odio este reclamos, es problemas",0
" satisface este quejas, es fantastico",1
" complace este reclamos, es favor",1
"gusta este preguntas, es estupendo",1
" encanta este peticiones, es gracias",1
"gustaria este preguntas, es favor",1
"horroroso este quejas, es terrible",0
"gustaria este peticiones, es bueno",1
"gusta este preguntas, es maravilloso",1
" cautiva este reclamos, es agradable",1
"gusta este quejas, es estupendo",1
"disgusta este preguntas, es malo",0
"terrible este quejas, es decepcion",0
" sirve este reclamos, es favor",1
" fascina este quejas, es excelente",1
" fascina este preguntas, es maravilloso",1
"molesto este preguntas, es decepcion",0
"gustaria este reclamos, es asombroso",1
"malo este peticiones, es desagrada",0
"desastroso este peticiones, es incompleto",0
"disgustaria este reclamos, es lamentable",0
" cautiva este quejas, es asombroso",1
" cautiva este preguntas, es bueno",1
"gusta este preguntas, es estupendo",1
"gusta este peticiones, es contento",1
"malo este quejas, es dificultades",0
"agrada este reclamos, es estupendo",1
"disgustaria este quejas, es descontento",0
"gusta este preguntas, es gracias",1
" fascina este quejas, es genial",1
"gusta este peticiones, es increible",1
" sirve este quejas, es maravilloso",1
"gustaria este reclamos, es asombroso",1
" fascina este quejas, es estupendo",1
"indigna este peticiones, es poco",0
"agradaria este reclamos, es increible",1
" fascina este reclamos, es satisfecho",1
"agradaria este quejas, es maravilla",1
"horroroso este peticiones, es insatisfecho",0
"disgustaria este peticiones, es lamentable",0
"gusta este reclamos, es eficiente",1
"agrada este reclamos, es fantastico",1
"fascinaria este reclamos, es maravilla",1
" complace este quejas, es gracias",1
"encantaria este reclamos, es excelente",1
" fascina este reclamos, es eficiente",1
"desastroso este quejas, es horrible",0
"horroroso este peticiones, es despreciable",0
"desastroso este preguntas, es ignorado",0
"disgusta este reclamos, es ignorado",0
" encanta este peticiones, es fantastico",1
"fascinaria este peticiones, es satisfecho",1
"agradaria este preguntas, es excelente",1
"odio este reclamos, es decepcion",0
"desastroso este preguntas, es incompleto",0
"molesto este preguntas, es insatisfecho",0
"molesto este preguntas, es malo",0
" fascina este preguntas, es increible",1
"horroroso este preguntas, es lamentable",0
"gustaria este preguntas, es contento",1
"terrible este reclamos, es despreciable",0
"gusta este reclamos, es favor",1
"disgustaria este preguntas, es malo",0
"odio este quejas, es ignorado",0
" fascina este preguntas, es estupendo",1
"horroroso este quejas, es horrible",0
"encantaria este preguntas, es asombroso",1
"terrible este preguntas, es ignorado",0
"agrada este peticiones, es asombroso",1
"gusta este quejas, es estupendo",1
"horroroso este preguntas, es terrible",0
"desastroso este quejas, es decepcion",0
"gusta este reclamos, es estupendo",1
" cautiva este reclamos, es favor",1
" fascina este quejas, es agradable",1
"molesto este reclamos, es ineficiente",0
"encantaria este reclamos, es estupendo",1
"odio este reclamos, es desagrada",0
" encanta este preguntas, es eficiente",1
"encantaria este quejas, es genial",1
" fascina este peticiones, es maravilloso",1
" fascina este peticiones, es gracias",1
"horroroso este peticiones, es frustante",0
" encanta este quejas, es asombroso",1
"terrible este preguntas, es decepcion",0
"molesto este quejas, es grosero",0
"agradaria este peticiones, es gracias",1
"agradaria este peticiones, es maravilla",1
"disgustaria este quejas, es despreciable",0
"indigna este quejas, es lamentable",0
"malo este preguntas, es poco",0
"disgusta este peticiones, es terrible",0
"indigna este quejas, es poco",0
"disgusta este peticiones, es despreciable",0
" complace este reclamos, es gracias",1
"horroroso este quejas, es insatisfecho",0
"disgusta este reclamos, es frustante",0
"malo este peticiones, es malo",0
"horrible este peticiones, es ineficiente",0
" satisface este preguntas, es fantastico",1
" cautiva este reclamos, es fantastico",1
"molesto este reclamos, es desagrada",0
"encantaria este reclamos, es eficiente",1
"indigna este preguntas, es insatisfecho",0
" sirve este quejas, es agradable",1
"molesto este peticiones, es problemas",0
"desastroso este quejas, es lamentable",0
"encantaria este reclamos, es satisfecho",1
"terrible este peticiones, es descontento",0
" sirve este preguntas, es estupendo",1
" cautiva este quejas, es satisfecho",1
"terrible este preguntas, es ineficiente",0
"gusta este peticiones, es asombroso",1
" satisface este peticiones, es maravilloso",1
"encantaria este peticiones, es rapido",1
"gustaria este reclamos, es fantastico",1
"fascinaria este preguntas, es contento",1
"encantaria este quejas, es increible",1
" satisface este preguntas, es asombroso",1
"horroroso este preguntas, es ignorado",0
"disgustaria este reclamos, es incompleto",0
"disgustaria este peticiones, es horrible",0
"gusta este reclamos, es contento",1
" complace este preguntas, es satisfecho",1
"disgustaria este quejas, es despreciable",0
" satisface este reclamos, es genial",1
"malo este preguntas, es fallos",0
" sirve este reclamos, es agradable",1
"fascinaria este reclamos, es maravilloso",1
"gustaria este preguntas, es maravilloso",1
"horrible este peticiones, es desagrada",0
"fascinaria este quejas, es contento",1
"gusta este reclamos, es contento",1
" fascina este preguntas, es genial",1
"indigna este preguntas, es incompleto",0
"desastroso este reclamos, es ineficiente",0
"fascinaria este peticiones, es rapido",1
" fascina este preguntas, es asombroso",1
"agradaria este reclamos, es fantastico",1
"disgustaria este peticiones, es insatisfecho",0
"disgusta este peticiones, es grosero",0
"gusta este quejas, es contento",1
" sirve este peticiones, es genial",1
" complace este reclamos, es bueno",1
"horrible este preguntas, es decepcion",0
" sirve este preguntas, es increible",1
" cautiva este preguntas, es favor",1
"terrible este quejas, es problemas",0
"malo este quejas, es horrible",0
"disgusta este reclamos, es grosero",0
"disgustaria este preguntas, es malo",0
"molesto este quejas, es problemas",0
"indigna este preguntas, es incompleto",0
"encantaria este reclamos, es maravilla",1
"fascinaria este reclamos, es agradable",1
"horroroso este peticiones, es ignorado",0
"disgustaria este peticiones, es frustante",0
"indigna este quejas, es malo",0
" fascina este quejas, es satisfecho",1
"fascinaria este reclamos, es genial",1
"gusta este preguntas, es increible",1
" encanta este preguntas, es estupendo",1
" satisface este preguntas, es fantastico",1
"disgustaria este quejas, es malo",0
"indigna este preguntas, es ineficiente",0
" fascina este preguntas, es eficiente",1
"disgustaria este preguntas, es incompleto",0
"malo este quejas, es terrible",0
"odio este preguntas, es grosero",0
